File is used to store test data from the program
The data is Lines Drawn Per CPU-CLock for: 
OpenGL	DDA	Bresenham's
1.#INF	95.5	1.#INF
1.#INF	96	1.#INF
1.#INF	96.5	1.#INF
1.#INF	97	1.#INF
1.#INF	97.5	1.#INF
1.#INF	98	1.#INF
1.#INF	98.5	1.#INF
1.#INF	99	1.#INF
1.#INF	99.5	1.#INF
1.#INF	100	1.#INF
1.#INF	100.5	1.#INF
1.#INF	101	1.#INF
1.#INF	101.5	1.#INF
1.#INF	102	1.#INF
1.#INF	102.5	1.#INF
1.#INF	103	1.#INF
1.#INF	103.5	1.#INF
1.#INF	104	1.#INF
1.#INF	104.5	1.#INF
1.#INF	105	1.#INF
1.#INF	105.5	1.#INF
1.#INF	106	1.#INF
1.#INF	106.5	1.#INF
1.#INF	107	1.#INF
1.#INF	107.5	1.#INF
1.#INF	108	1.#INF
1.#INF	108.5	1.#INF
1.#INF	109	1.#INF
1.#INF	109.5	1.#INF
1.#INF	110	1.#INF
1.#INF	110.5	1.#INF
1.#INF	111	1.#INF
1.#INF	111.5	1.#INF
1.#INF	112	1.#INF
1.#INF	112.5	1.#INF
1.#INF	113	1.#INF
1.#INF	113.5	1.#INF
1.#INF	114	1.#INF
1.#INF	114.5	1.#INF
1.#INF	115	1.#INF
1.#INF	115.5	1.#INF
1.#INF	116	1.#INF
1.#INF	116.5	1.#INF
1.#INF	117	1.#INF
1.#INF	78.3333	1.#INF
1.#INF	78.6667	1.#INF
1.#INF	79	1.#INF
1.#INF	79.3333	1.#INF
1.#INF	79.6667	1.#INF
1.#INF	80	1.#INF
1.#INF	80.3333	1.#INF
1.#INF	80.6667	1.#INF
1.#INF	81	1.#INF
1.#INF	81.3333	1.#INF
1.#INF	81.6667	1.#INF
1.#INF	82	1.#INF
1.#INF	82.3333	1.#INF
1.#INF	82.6667	1.#INF
1.#INF	83	1.#INF
1.#INF	83.3333	1.#INF
1.#INF	83.6667	1.#INF
1.#INF	84	1.#INF
1.#INF	84.3333	1.#INF
1.#INF	84.6667	1.#INF
1.#INF	85	1.#INF
1.#INF	85.3333	1.#INF
1.#INF	85.6667	1.#INF
1.#INF	86	1.#INF
1.#INF	86.3333	1.#INF
1.#INF	86.6667	1.#INF
1.#INF	65.25	1.#INF
1.#INF	65.5	1.#INF
1.#INF	65.75	1.#INF
1.#INF	66	1.#INF
1.#INF	66.25	1.#INF
1.#INF	66.5	1.#INF
1.#INF	66.75	1.#INF
1.#INF	67	1.#INF
1.#INF	67.25	1.#INF
1.#INF	67.5	1.#INF
1.#INF	67.75	1.#INF
1.#INF	68	1.#INF
1.#INF	68.25	1.#INF
1.#INF	68.5	1.#INF
1.#INF	68.75	1.#INF
1.#INF	69	1.#INF
1.#INF	69.25	1.#INF
1.#INF	69.5	1.#INF
1.#INF	69.75	1.#INF
1.#INF	70	1.#INF
1.#INF	70.25	1.#INF
1.#INF	70.5	1.#INF
1.#INF	70.75	1.#INF
1.#INF	71	1.#INF
1.#INF	71.25	1.#INF
1.#INF	71.5	1.#INF
1.#INF	71.75	1.#INF
1.#INF	72	1.#INF
1.#INF	72.25	1.#INF
1.#INF	72.5	1.#INF
1.#INF	72.75	1.#INF
1.#INF	73	1.#INF
1.#INF	73.25	1.#INF
1.#INF	73.5	1.#INF
1.#INF	73.75	1.#INF
1.#INF	74	1.#INF
1.#INF	74.25	1.#INF
1.#INF	74.5	1.#INF
1.#INF	74.75	1.#INF
1.#INF	75	1.#INF
1.#INF	75.25	1.#INF
1.#INF	75.5	1.#INF
1.#INF	75.75	1.#INF
1.#INF	76	1.#INF
1.#INF	76.25	1.#INF
1.#INF	76.5	1.#INF
307	76.75	1.#INF
308	77	1.#INF
309	77.25	1.#INF
310	77.5	1.#INF
311	77.75	1.#INF
312	78	1.#INF
313	78.25	1.#INF
314	78.5	1.#INF
315	63	1.#INF
316	63.2	1.#INF
317	63.4	1.#INF
318	63.6	1.#INF
319	63.8	1.#INF
320	64	1.#INF
321	64.2	1.#INF
322	64.4	1.#INF
323	64.6	1.#INF
324	64.8	1.#INF
325	65	1.#INF
326	65.2	1.#INF
327	65.4	1.#INF
328	65.6	1.#INF
329	65.8	1.#INF
330	66	1.#INF
331	66.2	1.#INF
332	66.4	1.#INF
333	66.6	1.#INF
334	66.8	1.#INF
