File is used to store test data from the program
The data is Lines Drawn Per CPU-CLock for: 
OpenGL	DDA	Bresenham's
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
47	13.0556	1.#INF
47.2	13.1111	1.#INF
47.4	13.1667	1.#INF
47.6	13.2222	1.#INF
47.8	13.2778	1.#INF
48	12.6316	1.#INF
48.2	12.6842	1.#INF
48.4	12.7368	1.#INF
48.6	12.15	1.#INF
48.8	11.619	1.#INF
49	11.6667	1.#INF
49.2	11.7143	1.#INF
49.4	11.7619	1.#INF
49.6	11.8095	1.#INF
49.8	11.8571	1.#INF
50	11.9048	1.#INF
50.2	11.9524	1.#INF
50.4	12	1.#INF
50.6	12.0476	1.#INF
50.8	12.0952	1.#INF
51	12.1429	1.#INF
51.2	12.1905	1.#INF
51.4	12.2381	1.#INF
51.6	12.2857	1.#INF
51.8	11.7727	1.#INF
52	11.8182	1.#INF
43.5	11.8636	1.#INF
43.6667	11.9091	1.#INF
43.8333	11.9545	1.#INF
44	12	1.#INF
44.1667	12.0455	1.#INF
44.3333	12.0909	1.#INF
44.5	11.6087	1.#INF
44.6667	11.6522	1.#INF
44.8333	11.6957	1.#INF
45	11.7391	1.#INF
45.1667	11.7826	1.#INF
45.3333	11.8261	1.#INF
45.5	11.8696	1.#INF
45.6667	11.913	1.#INF
45.8333	11.9565	1.#INF
46	12	1.#INF
46.1667	12.0435	1.#INF
46.3333	12.087	1.#INF
46.5	12.1304	1.#INF
46.6667	12.1739	1.#INF
46.8333	12.2174	1.#INF
47	12.2609	1.#INF
47.1667	11.7917	1.#INF
47.3333	11.8333	1.#INF
47.5	11.875	1.#INF
47.6667	11.9167	1.#INF
47.8333	11.9583	1.#INF
48	12	1.#INF
48.1667	12.0417	1.#INF
48.3333	12.0833	1.#INF
48.5	12.125	1.#INF
48.6667	12.1667	1.#INF
48.8333	12.2083	1.#INF
49	12.25	1.#INF
49.1667	12.2917	1.#INF
49.3333	12.3333	1.#INF
49.5	12.375	1.#INF
49.6667	12.4167	1.#INF
49.8333	11.96	1.#INF
50	12	1.#INF
50.1667	12.04	1.#INF
50.3333	12.08	1.#INF
50.5	12.12	1.#INF
43.4286	12.16	1.#INF
43.5714	12.2	1.#INF
43.7143	12.24	1.#INF
43.8571	12.28	1.#INF
44	12.32	1.#INF
44.1429	12.36	1.#INF
44.2857	12.4	1.#INF
44.4286	12.44	1.#INF
44.5714	12.48	1.#INF
44.7143	12.52	1.#INF
44.8571	12.56	1.#INF
45	12.6	1.#INF
45.1429	12.64	1.#INF
45.2857	12.68	1.#INF
45.4286	12.72	1.#INF
45.5714	12.2692	1.#INF
45.7143	12.3077	1.#INF
45.8571	12.3462	1.#INF
46	12.3846	1.#INF
46.1429	12.4231	1.#INF
46.2857	12.4615	1.#INF
46.4286	12.5	1.#INF
46.5714	12.5385	1.#INF
46.7143	12.5769	1.#INF
46.8571	12.6154	1.#INF
47	12.6538	1.#INF
47.1429	12.6923	1.#INF
47.2857	12.7308	1.#INF
47.4286	12.7692	1.#INF
47.5714	12.8077	1.#INF
47.7143	12.8462	1.#INF
47.8571	12.8846	1.#INF
48	12.9231	1.#INF
48.1429	12.9615	1.#INF
48.2857	13	1.#INF
48.4286	13.0385	1.#INF
48.5714	13.0769	1.#INF
48.7143	13.1154	1.#INF
48.8571	13.1538	1.#INF
49	13.1923	1.#INF
49.1429	13.2308	1.#INF
49.2857	12.7778	1.#INF
49.4286	12.8148	1.#INF
49.5714	12.8519	1.#INF
49.7143	12.8889	1.#INF
49.8571	12.9259	1.#INF
43.75	12.963	1.#INF
43.875	13	1.#INF
44	13.037	1.#INF
44.125	13.0741	1.#INF
44.25	13.1111	1.#INF
44.375	13.1481	1.#INF
44.5	13.1852	356
44.625	13.2222	357
44.75	13.2593	358
44.875	13.2963	359
45	13.3333	360
45.125	13.3704	361
45.25	13.4074	362
45.375	13.4444	363
45.5	13.4815	364
45.625	13.5185	365
45.75	13.5556	366
45.875	13.5926	367
46	13.6296	368
46.125	13.6667	369
46.25	13.7037	370
46.375	13.25	371
46.5	13.2857	372
46.625	13.3214	373
46.75	13.3571	374
46.875	13.3929	375
47	12.9655	376
47.125	13	377
47.25	13.0345	378
47.375	12.6333	379
47.5	12.6667	380
47.625	12.2903	381
47.75	12.3226	382
47.875	12.3548	383
42.6667	12.3871	384
42.7778	12.4194	385
42.8889	12.4516	386
43	12.4839	387
43.1111	12.5161	388
43.2222	12.5484	389
43.3333	12.5806	390
43.4444	12.6129	391
43.5556	12.6452	392
43.6667	12.6774	393
43.7778	12.7097	394
43.8889	12.7419	395
39.6	12.7742	396
39.7	12.4063	397
39.8	12.4375	398
39.9	12.4688	399
40	12.1212	400
40.1	12.1515	401
40.2	12.1818	402
40.3	12.2121	403
36.7273	12.2424	404
36.8182	12.2727	405
36.9091	12.303	406
37	12.3333	407
37.0909	12.3636	408
37.1818	12.3939	409
37.2727	12.4242	410
37.3636	12.4545	411
37.4545	12.4848	412
37.5455	12.5152	413
37.6364	12.5455	414
37.7273	12.5758	415
37.8182	12.6061	416
37.9091	12.6364	417
38	12.6667	418
38.0909	12.697	419
38.1818	12.7273	420
38.2727	12.7576	421
38.3636	12.7879	422
38.4545	12.8182	423
38.5455	12.8485	424
38.6364	12.5	425
38.7273	12.5294	426
38.8182	12.5588	427
38.9091	12.5882	428
39	12.6176	429
39.0909	12.6471	430
39.1818	12.6765	431
39.2727	12.7059	432
39.3636	12.7353	433
39.4545	12.7647	434
39.5455	12.7941	435
39.6364	12.8235	436
39.7273	12.8529	437
39.8182	12.8824	438
39.9091	12.9118	439
40	12.9412	440
40.0909	12.9706	441
40.1818	13	442
40.2727	13.0294	443
40.3636	13.0588	444
40.4545	13.0882	445
37.1667	13.1176	446
37.25	13.1471	447
37.3333	13.1765	448
37.4167	13.2059	449
37.5	13.2353	225
37.5833	13.2647	225.5
37.6667	13.2941	226
37.75	13.3235	226.5
37.8333	13.3529	227
37.9167	13.3824	227.5
38	13.4118	228
38.0833	13.4412	228.5
38.1667	13.4706	229
38.25	13.5	229.5
38.3333	13.5294	230
38.4167	13.5588	230.5
38.5	13.5882	231
35.6154	13.6176	231.5
35.6923	13.6471	232
35.7692	13.2857	232.5
35.8462	13.3143	233
35.9231	13.3429	233.5
36	13.3714	234
36.0769	13.4	234.5
36.1538	13.4286	235
36.2308	13.4571	235.5
36.3077	13.4857	236
36.3846	13.1389	236.5
36.4615	13.1667	237
36.5385	13.1944	237.5
36.6154	13.2222	238
36.6923	13.25	238.5
36.7692	13.2778	239
36.8462	13.3056	239.5
36.9231	13.3333	240
37	13.3611	240.5
37.0769	13.3889	241
37.1538	13.0541	241.5
34.5714	13.0811	242
34.6429	13.1081	242.5
34.7143	13.1351	243
34.7857	13.1622	243.5
34.8571	13.1892	244
34.9286	12.8684	244.5
35	12.8947	245
32.7333	12.9211	245.5
32.8	12.9474	246
32.8667	12.9737	246.5
32.9333	13	247
33	13.0263	247.5
33.0667	13.0526	248
33.1333	13.0789	248.5
33.2	13.1053	249
33.2667	13.1316	249.5
33.3333	13.1579	250
33.4	13.1842	250.5
33.4667	13.2105	251
33.5333	13.2368	251.5
33.6	13.2632	252
33.6667	13.2895	252.5
33.7333	13.3158	253
33.8	13.3421	253.5
33.8667	13.3684	254
33.9333	13.3947	254.5
34	13.4211	255
34.0667	13.4474	255.5
34.1333	13.4737	256
34.2	13.5	256.5
34.2667	13.5263	257
34.3333	13.5526	257.5
34.4	13.5789	258
34.4667	13.6053	258.5
34.5333	13.6316	259
32.4375	13.6579	259.5
32.5	13.6842	260
32.5625	13.7105	260.5
32.625	13.7368	261
32.6875	13.7632	261.5
32.75	13.7895	262
32.8125	13.8158	262.5
32.875	13.8421	263
32.9375	13.8684	263.5
33	13.8947	264
33.0625	13.9211	264.5
33.125	13.9474	265
33.1875	13.9737	265.5
33.25	13.641	266
33.3125	13.6667	266.5
33.375	13.6923	267
33.4375	13.7179	267.5
33.5	13.7436	268
33.5625	13.7692	268.5
33.625	13.7949	269
33.6875	13.8205	269.5
33.75	13.8462	270
33.8125	13.8718	270.5
33.875	13.8974	271
33.9375	13.9231	271.5
34	13.9487	272
34.0625	13.9744	272.5
34.125	14	273
34.1875	14.0256	273.5
34.25	14.0513	274
34.3125	14.0769	274.5
34.375	14.1026	275
34.4375	13.775	275.5
34.5	13.4634	276
34.5625	13.4878	276.5
34.625	13.5122	277
34.6875	13.5366	277.5
34.75	13.561	278
34.8125	13.5854	278.5
34.875	13.6098	279
34.9375	13.6341	279.5
35	13.6585	280
35.0625	13.6829	280.5
35.125	13.7073	281
35.1875	13.7317	281.5
35.25	13.7561	282
35.3125	13.7805	282.5
35.375	13.8049	283
35.4375	13.8293	283.5
35.5	13.8537	284
35.5625	13.878	284.5
35.625	13.9024	285
35.6875	13.9268	285.5
35.75	13.9512	286
35.8125	13.9756	286.5
35.875	14	287
35.9375	14.0244	287.5
36	14.0488	288
36.0625	14.0732	288.5
36.125	14.0976	289
36.1875	14.122	289.5
36.25	14.1463	290
36.3125	14.1707	290.5
36.375	14.1951	291
36.4375	14.2195	291.5
36.5	14.2439	292
36.5625	13.9286	292.5
36.625	13.9524	293
36.6875	13.9762	293.5
36.75	14	294
36.8125	14.0238	294.5
36.875	14.0476	295
36.9375	14.0714	295.5
37	14.0952	296
37.0625	14.119	296.5
37.125	14.1429	297
37.1875	14.1667	297.5
37.25	14.1905	298
37.3125	14.2143	298.5
37.375	14.2381	299
37.4375	14.2619	299.5
37.5	14.2857	300
37.5625	14.3095	300.5
37.625	14.3333	301
37.6875	14.3571	301.5
37.75	14.0465	302
37.8125	14.0698	302.5
37.875	14.093	303
37.9375	14.1163	303.5
38	14.1395	304
38.0625	14.1628	304.5
38.125	14.186	305
38.1875	14.2093	305.5
38.25	14.2326	306
38.3125	14.2558	306.5
38.375	14.2791	307
38.4375	14.3023	307.5
38.5	14.3256	308
38.5625	14.3488	308.5
38.625	14.3721	309
38.6875	14.3953	309.5
38.75	14.4186	310
38.8125	14.4419	310.5
38.875	14.4651	311
38.9375	14.4884	311.5
39	14.5116	312
39.0625	14.5349	312.5
39.125	14.5581	313
39.1875	14.5814	313.5
39.25	14.6047	314
39.3125	14.6279	314.5
39.375	14.3182	315
39.4375	14.3409	315.5
39.5	14.3636	210.667
39.5625	14.3864	211
39.625	14.4091	211.333
39.6875	14.4318	211.667
39.75	14.4545	212
39.8125	14.4773	212.333
39.875	14.5	212.667
39.9375	14.5227	213
40	14.5455	213.333
40.0625	14.5682	213.667
40.125	14.5909	214
40.1875	14.6136	214.333
40.25	14.6364	214.667
40.3125	14.6591	215
40.375	14.6818	215.333
40.4375	14.3778	215.667
40.5	14.4	216
40.5625	14.4222	216.333
40.625	14.4444	216.667
40.6875	14.4667	217
40.75	14.4889	217.333
40.8125	14.5111	217.667
40.875	14.5333	218
40.9375	14.5556	218.333
41	14.5778	218.667
41.0625	14.6	219
41.125	14.6222	219.333
41.1875	14.6444	219.667
41.25	14.6667	220
41.3125	14.6889	220.333
41.375	14.7111	220.667
41.4375	14.7333	221
41.5	14.7556	221.333
41.5625	14.7778	221.667
41.625	14.8	222
41.6875	14.8222	222.333
41.75	14.8444	222.667
41.8125	14.8667	223
41.875	14.8889	223.333
41.9375	14.9111	223.667
42	14.9333	168
42.0625	14.9556	168.25
42.125	14.9778	168.5
42.1875	15	168.75
42.25	15.0222	169
42.3125	14.7174	169.25
42.375	14.7391	169.5
42.4375	14.7609	169.75
42.5	14.7826	170
42.5625	14.8043	170.25
42.625	14.8261	170.5
42.6875	14.8478	170.75
42.75	14.8696	171
42.8125	14.8913	171.25
42.875	14.913	171.5
42.9375	14.9348	171.75
43	14.9565	172
43.0625	14.9783	172.25
43.125	15	172.5
43.1875	15.0217	172.75
43.25	15.0435	173
43.3125	15.0652	173.25
43.375	14.766	173.5
43.4375	14.7872	173.75
43.5	14.8085	174
43.5625	14.8298	174.25
43.625	14.8511	174.5
43.6875	14.8723	174.75
43.75	14.8936	175
43.8125	14.9149	175.25
43.875	14.9362	175.5
43.9375	14.9574	175.75
44	14.9787	176
44.0625	15	176.25
44.125	15.0213	176.5
44.1875	15.0426	176.75
44.25	15.0638	177
44.3125	15.0851	177.25
44.375	15.1064	177.5
44.4375	15.1277	177.75
44.5	15.1489	178
41.9412	15.1702	178.25
42	15.1915	178.5
42.0588	15.2128	178.75
42.1176	15.234	179
42.1765	15.2553	179.25
42.2353	15.2766	179.5
42.2941	15.2979	179.75
40	15.3191	180
40.0556	15.3404	180.25
40.1111	15.3617	180.5
40.1667	15.383	180.75
40.2222	15.4043	181
40.2778	15.1042	181.25
40.3333	15.125	181.5
40.3889	15.1458	181.75
40.4444	15.1667	182
40.5	15.1875	182.25
40.5556	15.2083	182.5
40.6111	15.2292	182.75
40.6667	15.25	183
40.7222	15.2708	183.25
40.7778	15.2917	183.5
40.8333	15.3125	183.75
40.8889	15.3333	184
40.9444	15.3542	184.25
41	15.375	184.5
41.0556	15.3958	184.75
41.1111	15.4167	185
41.1667	15.4375	185.25
